,id,name,timezone,label,lat,lon,insee,region,label_region,id_region,zip_code
0,stop_area:SNCF:87182915,,Europe/Paris,,0,0,,,,,
1,stop_area:SNCF:80153452,Aachen Hauptbahnhof,Europe/Paris,Aachen Hauptbahnhof (Aachen),50.7675,6.0912,,Aachen,Aachen,admin:osm:relation:62564,
2,stop_area:SNCF:87313759,Abancourt,Europe/Paris,Abancourt (Abancourt),49.685621,1.774297,60001,Abancourt,Abancourt (60220),admin:fr:60001,60220
3,stop_area:SNCF:87481614,Abbaretz,Europe/Paris,Abbaretz (Abbaretz),47.555241,-1.524289,44001,Abbaretz,Abbaretz (44170),admin:fr:44001,44170
4,stop_area:SNCF:87317362,Abbeville,Europe/Paris,Abbeville (Abbeville),50.102175,1.824538,80001,Abbeville,Abbeville (80100),admin:fr:80001,80100
5,stop_area:SNCF:87545269,Ablon,Europe/Paris,Ablon (Ablon-sur-Seine),48.725443,2.419213,94001,Ablon-sur-Seine,Ablon-sur-Seine (94480),admin:fr:94001,94480
6,stop_area:SNCF:87191403,Aboncourt Mairie,Europe/Paris,Aboncourt Mairie (Aboncourt),49.261076,6.346603,57001,Aboncourt,Aboncourt (57920),admin:fr:57001,57920
7,stop_area:SNCF:87677252,Accolay Le Pont,Europe/Paris,Accolay Le Pont (Deux Rivières),47.663798,3.709584,89130,Deux Rivières,Deux Rivières (89460),admin:fr:89130,89460
8,stop_area:SNCF:87386052,Achères Grand Cormier,Europe/Paris,Achères Grand Cormier (Saint-Germain-en-Laye),48.955187,2.091962,78551,Saint-Germain-en-Laye,Saint-Germain-en-Laye (78100-78112),admin:fr:78551,78100;78112
9,stop_area:SNCF:87381657,Achères Ville,Europe/Paris,Achères Ville (Achères),48.97011,2.07739,78005,Achères,Achères (78260),admin:fr:78005,78260
10,stop_area:SNCF:87342048,Achiet,Europe/Paris,Achiet (Achiet-le-Grand),50.131919,2.780112,62005,Achiet-le-Grand,Achiet-le-Grand (62121),admin:fr:62005,62121
11,stop_area:SNCF:87316455,Achy,Europe/Paris,Achy (Achy),49.55473,1.979053,60004,Achy,Achy (60690),admin:fr:60004,60690
12,stop_area:SNCF:87658856,Adamswiller Lotissement la Forêt,Europe/Paris,Adamswiller Lotissement la Forêt (Adamswiller),48.905635,7.208238,67002,Adamswiller,Adamswiller (67320),admin:fr:67002,67320
13,stop_area:SNCF:87658922,Adamswiller Mairie,Europe/Paris,Adamswiller Mairie (Adamswiller),48.903835,7.201179,67002,Adamswiller,Adamswiller (67320),admin:fr:67002,67320
14,stop_area:SNCF:87523548,Aérogare Orly Sud - Noctilien,Europe/Paris,Aérogare Orly Sud - Noctilien (Paray-Vieille-Poste),48.728829,2.369614,91479,Paray-Vieille-Poste,Paray-Vieille-Poste (91550-94390),admin:fr:91479,91550;94390
15,stop_area:SNCF:87001479,Aéroport - Charles-de-Gaulle 2 RER,Europe/Paris,Aéroport - Charles-de-Gaulle 2 RER (Tremblay-en-France),49.003965,2.570665,93073,Tremblay-en-France,Tremblay-en-France (93290),admin:fr:93073,93290
16,stop_area:SNCF:87271494,Aéroport Charles de Gaulle 2 TGV,Europe/Paris,Aéroport Charles de Gaulle 2 TGV (Tremblay-en-France),49.003618,2.570812,93073,Tremblay-en-France,Tremblay-en-France (93290),admin:fr:93073,93290
17,stop_area:SNCF:87271460,Aéroport Roissy Charles de Gaulle 1,Europe/Paris,Aéroport Roissy Charles de Gaulle 1 (Tremblay-en-France),49.00956,2.56135,93073,Tremblay-en-France,Tremblay-en-France (93290),admin:fr:93073,93290
18,stop_area:SNCF:87757559,Agay,Europe/Paris,Agay (Saint-Raphaël),43.43137,6.8565,83118,Saint-Raphaël,Saint-Raphaël (83530-83700),admin:fr:83118,83530;83700
